Date,ECH,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,ERUS,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FXI,THD,TUR
5/3/2011,68.358154,27.822594,20.444321,49.136547,21.731565,23.546167,30.964245,34.952339,45.75211,18.519249,27.880543,26.287006,23.924135,14.925169,32.22897,37.816257,12.144736,23.119873,42.284744,19.983526,19.710596,31.606468,23.296757,21.382326,25.753775,27.92691,53.994053,60.343567,60.587658,59.028515,36.935799,55.760811,58.210449
5/4/2011,66.755196,27.742365,20.356464,49.288887,21.613947,23.302166,30.702438,36.442402,44.760197,18.061314,27.552536,26.041756,23.606264,14.800339,31.774811,37.744629,11.956446,23.037006,41.887169,19.790649,19.531187,31.300016,23.118797,20.899792,25.622627,27.777889,53.15976,59.13282,59.097733,57.919704,36.271935,55.418869,57.21384
5/5/2011,66.282173,27.760191,19.882036,48.307163,21.364872,22.936165,29.821831,35.718647,43.21032,17.78521,26.946985,25.410028,23.029074,14.730121,30.752949,37.458153,11.626938,22.630957,41.262417,19.36297,18.88694,30.394585,22.415037,20.673605,25.704594,27.12219,52.647034,58.478817,58.670891,56.319843,35.973202,54.702412,56.757057
5/6/2011,67.236954,27.965227,19.636036,48.070198,21.793831,22.823545,29.48069,38.051651,44.016254,18.101723,27.148836,25.194504,22.978884,14.847149,30.347452,37.673023,11.5171,22.564663,41.631588,19.20364,18.593361,29.865261,22.245165,20.869637,25.950495,27.166899,52.933811,58.903034,59.613171,57.07225,36.330017,54.222073,55.561134
5/9/2011,66.982941,27.822594,20.013823,48.273315,21.980637,23.152012,29.694893,37.404549,44.481213,18.310486,27.460018,25.610691,23.003981,14.948575,30.460999,37.816257,11.650474,22.788404,41.858776,19.27911,18.854322,29.76079,22.301794,21.231535,26.065247,27.330816,53.272736,58.487667,59.838676,56.850487,36.396404,55.500278,56.109261
5/10/2011,67.902664,28.303986,20.136824,48.357941,22.160519,23.47109,30.020166,36.774464,45.194157,18.404764,27.577763,26.041756,23.330217,15.09681,30.947594,37.995312,11.783845,22.771833,42.17115,19.56423,19.204985,30.053308,22.649626,21.502962,26.261965,27.673574,53.9506,59.035595,60.394356,57.349461,36.753235,56.599373,55.195698
5/11/2011,67.009216,28.303986,19.846897,48.324089,21.890694,23.274008,29.409294,35.863396,43.923264,18.041115,27.031086,25.454622,22.828312,14.815939,30.282579,37.350708,11.50141,22.523232,41.94397,19.253954,18.846167,29.53791,22.188547,21.291849,25.835743,27.34572,52.99464,58.169502,58.831959,55.694157,36.205555,56.745903,52.455013
5/12/2011,67.447189,28.366383,19.846897,48.552597,22.21587,23.349092,29.560028,37.200188,43.473801,17.933369,26.946985,25.685015,22.903595,14.909564,30.36367,37.458153,11.634783,22.780119,42.284744,19.321043,18.829859,29.76079,22.293701,21.2617,26.098032,27.271215,52.812145,58.001583,58.880287,55.694157,36.271935,56.892456,54.091118
5/13/2011,67.499718,27.867167,19.644823,48.095592,21.752319,23.03001,28.853949,37.659977,42.667873,17.650522,26.719904,25.127615,22.410057,14.886158,29.941963,36.670303,11.548485,22.448652,41.603188,18.968834,18.356869,29.008581,21.962049,21.156139,25.573448,26.958263,52.221191,56.843857,57.648067,54.30022,35.848721,55.500278,51.47501
5/16/2011,66.702621,27.831507,19.644823,47.494713,21.828423,22.908003,29.099888,37.413059,42.373398,17.643791,26.711491,25.417463,22.368231,14.831545,29.860861,36.455448,11.595556,22.572954,41.347607,18.826277,18.381334,29.029474,21.864977,20.914873,25.37673,26.853952,52.273331,56.62291,57.631966,54.822948,35.765732,55.288601,52.164345
5/17/2011,66.702621,27.902824,19.838108,47.562416,22.029068,23.02062,29.115753,37.889874,42.404392,17.78521,26.837652,25.410028,22.30131,14.823744,29.893295,36.491253,11.58771,22.6061,41.347607,18.792732,18.42211,29.34289,21.945868,20.975189,25.294764,26.928457,51.977859,56.516865,58.582306,54.997185,35.807228,55.386295,52.313835
5/18/2011,67.271996,28.482277,19.820536,47.985565,22.243549,23.377245,29.322023,37.481178,43.52029,17.946835,27.249758,25.536375,22.485342,14.956378,30.071726,36.77774,11.595556,22.722113,42.000763,18.851431,18.577051,29.461298,22.123827,21.2617,25.639021,27.107286,52.838215,57.745289,58.590347,55.860477,36.628761,55.817787,52.197556
5/19/2011,66.798996,28.64274,19.97868,48.366409,22.195114,23.208315,29.663157,37.770679,43.411812,18.101723,27.308628,25.87825,22.711199,15.057799,30.41234,36.240578,11.744621,22.829838,42.17115,19.061079,18.772774,29.732922,22.536375,21.442648,25.475088,27.28611,53.090237,57.144337,57.913841,56.058475,36.61216,55.557266,51.906879
5/20/2011,66.991692,28.491192,19.97868,48.324089,22.271217,23.011242,29.266489,37.200188,42.435394,17.926632,27.199295,25.610691,22.083817,14.909564,29.374264,35.846664,11.556328,22.655821,41.94397,18.675325,18.299784,28.688196,22.034847,21.171217,25.147223,27.166899,53.029404,56.781986,57.929962,55.527828,36.52919,54.90596,50.901962
5/23/2011,65.949318,27.47492,19.302181,47.046169,22.008312,22.664007,28.393812,36.442402,40.994015,17.354216,26.711491,24.756016,21.523355,14.628694,28.693035,35.309502,11.266048,22.241484,41.262417,18.205723,17.94912,28.179764,21.517141,20.703764,24.75379,26.466488,52.429768,54.705143,57.132641,53.785408,35.632969,53.880127,50.320606
5/24/2011,65.730331,27.564066,19.486679,46.944614,22.471861,22.664007,28.727013,36.953274,41.737949,17.475433,26.989035,24.703995,21.657196,14.636497,28.790346,35.739227,11.320965,22.357498,41.432804,18.239264,18.095909,28.242449,21.589947,20.718843,24.852146,26.585705,52.812145,54.996788,58.12323,54.712063,35.915108,54.230202,51.059761
5/25/2011,66.028152,27.742365,19.319752,46.512993,22.582558,22.71093,28.996752,37.855812,42.698872,17.414825,27.266575,25.090456,21.765944,14.698913,29.082306,35.810856,11.328811,22.58124,41.603188,18.373438,18.120373,28.632475,21.654661,20.809315,24.884937,26.898653,53.116306,54.979111,58.042709,54.743744,36.089378,54.279053,50.926884
5/26/2011,67.096802,27.911741,19.319752,46.936153,22.589481,22.964315,29.115753,38.579563,42.77636,17.711132,27.375912,25.172205,21.824501,14.722319,29.228287,36.133148,11.368037,22.871273,41.915573,18.48246,18.291632,28.904108,21.864977,20.899792,24.999685,27.226505,53.559521,56.242897,59.121906,55.678307,36.288532,54.637283,50.901962
5/27/2011,67.140602,28.090036,19.70632,47.257744,22.644829,23.095703,29.48069,38.519955,44.062748,17.872759,27.401148,25.410028,22.000166,14.800339,29.341827,36.133148,11.415111,23.186167,42.426731,18.599855,18.471035,29.050365,22.034847,21.141064,25.098045,27.494751,53.994053,57.347603,59.87088,56.113918,36.661949,55.052502,49.647892
5/31/2011,67.447189,28.303986,20.092894,48.417179,23.19832,22.973703,30.488237,37.183159,44.6362,17.993973,27.67028,25.907972,22.711199,15.174834,30.233913,36.77774,11.72893,23.501062,42.82431,19.052696,18.984798,30.109022,22.714336,21.412487,25.835743,27.807697,54.193935,58.337421,60.57962,57.721695,37.64946,55.174622,51.068062
6/1/2011,66.851555,27.858253,20.303749,46.86845,22.672503,22.607697,29.766296,35.284405,43.690788,17.57645,26.888113,25.305983,22.075453,15.003186,29.422926,36.312202,11.493565,23.227602,42.17115,18.616629,18.63414,29.20359,22.091475,20.990269,25.802956,27.04768,52.846901,57.3918,59.315174,56.597046,36.910908,53.546322,50.48671
6/2/2011,67.561043,28.000889,20.347679,47.266212,22.852388,23.198931,30.361309,37.601452,44.543209,17.556246,26.862879,25.543806,22.20093,15.104616,29.812204,36.348019,11.532793,23.3519,42.653923,18.767574,18.838015,29.76079,22.28561,21.231535,25.917707,27.092388,53.168457,57.568539,60.120548,57.53162,37.002186,53.904552,51.383652
6/3/2011,67.447189,28.107861,20.251038,47.427002,22.658667,22.908003,30.41684,37.369659,43.87677,17.435026,26.787184,25.528944,22.43515,14.870554,30.217701,36.025715,11.579864,23.418196,42.597126,18.851431,19.082663,29.955797,22.366505,21.186298,25.819347,27.151989,52.742615,57.276901,60.321892,56.977207,36.271935,53.546322,51.30891
6/6/2011,66.369781,28.072201,19.969893,47.300056,22.624073,22.814165,29.932899,32.218777,43.489296,17.360954,26.341436,24.949249,22.108913,14.745724,29.390484,35.667606,11.415111,23.119873,42.369938,18.574696,18.707533,29.140911,22.018673,20.899792,25.688202,26.928457,51.673687,56.614075,58.864178,55.702091,35.915108,52.740322,50.968399
6/7/2011,66.623795,28.152433,20.268608,47.570877,22.755529,22.692162,30.638979,33.540833,44.791195,17.495636,26.375074,25.291117,22.368231,14.761328,29.7311,35.954094,11.524946,22.995575,42.625519,18.767574,18.797235,29.530941,22.28561,21.005348,25.901316,27.166899,51.995235,56.896877,59.041355,56.604973,36.13916,52.276257,51.97332
6/8/2011,66.396042,27.983055,19.759039,47.181583,22.762445,22.654621,30.242306,34.60535,44.837688,17.179129,26.139584,24.495893,22.117279,14.6443,29.228287,35.918282,11.344501,22.746973,42.341541,18.398596,18.430262,29.001619,21.93778,20.839476,25.720987,26.868855,51.595474,56.128006,58.799751,56.48616,35.948307,50.713104,51.749088
6/9/2011,65.870499,28.081123,19.952324,47.359303,23.011517,22.767241,30.2185,35.455254,45.922592,17.408094,26.400305,24.69656,22.45188,14.761328,29.45536,36.168964,11.422956,22.813267,42.625519,18.47407,18.585207,29.245386,22.228989,20.975189,25.917707,27.181803,52.368931,56.472672,59.113842,56.604973,36.00639,51.266716,52.180946
6/10/2011,65.196007,27.653217,19.952324,46.623016,22.651751,22.429388,29.679029,34.983086,45.07016,17.057909,25.937729,23.685802,21.824501,14.418037,28.514606,35.810856,11.109138,22.42379,42.426731,17.954145,18.26716,28.388704,21.541412,20.552973,25.130829,26.421782,51.473804,54.802353,58.12323,55.456558,35.118469,50.973629,51.508228
